code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,target,total_clicks,active_days,unique_vle_sites,mean_clicks,max_clicks,min_clicks,std_clicks,median_clicks,total_interactions,activity_span,clicks_per_active_day,clicks_per_site,interactions_per_day,sites_per_day,clicks_per_span_day,recent14_clicks,recent14_days,recent14_sites,recent14_interactions,recent7_clicks,recent7_days,recent7_sites,recent7_interactions,recent14_click_ratio,recent7_click_ratio,recent14_activity_ratio,recent7_activity_ratio,click_variability,engagement_consistency
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,1731.0,119.0,74.0,3.297142857142857,34.0,1.0,3.249675766059549,2.0,525.0,255.0,14.546218487394958,23.39189189189189,4.411764705882353,0.6218487394957983,6.788235294117647,34.0,3.0,7.0,13.0,0.0,0.0,0.0,0.0,0.019641825534373193,0.0,0.025210084033613446,0.0,0.9856035685622548,0.5036252028515866
AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,1,1102.0,61.0,52.0,3.1942028985507247,28.0,1.0,3.8155085939892124,2.0,345.0,256.0,18.065573770491802,21.192307692307693,5.655737704918033,0.8524590163934426,4.3046875,63.0,3.0,7.0,16.0,0.0,0.0,0.0,0.0,0.05716878402903811,0.0,0.04918032786885246,0.0,1.1945104037443541,0.4556825058991579
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,1,3386.0,146.0,98.0,3.4586312563840655,29.0,1.0,2.9765742798800976,2.0,979.0,260.0,23.19178082191781,34.55102040816327,6.705479452054795,0.6712328767123288,13.023076923076923,98.0,5.0,9.0,23.0,6.0,1.0,2.0,2.0,0.028942705256940343,0.0017720023626698169,0.03424657534246575,0.00684931506849315,0.8606220378034894,0.5374546682143596
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,1,2708.0,168.0,73.0,3.6446837146702555,42.0,1.0,4.290683900003343,2.0,743.0,264.0,16.11904761904762,37.0958904109589,4.4226190476190474,0.43452380952380953,10.257575757575758,49.0,7.0,8.0,23.0,8.0,3.0,4.0,6.0,0.01809453471196455,0.0029542097488921715,0.041666666666666664,0.017857142857142856,1.1772445117069736,0.4592961399709735
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,1,1053.0,46.0,63.0,5.136585365853659,34.0,1.0,5.37431053934495,3.0,205.0,259.0,22.891304347826086,16.714285714285715,4.456521739130435,1.3695652173913044,4.065637065637065,19.0,2.0,4.0,9.0,5.0,1.0,3.0,4.0,0.018043684710351376,0.004748338081671415,0.043478260869565216,0.021739130434782608,1.0462807792646864,0.48869148854505756
AAA,2013J,M,Ireland,HE Qualification,?,35-55,0,60,N,1,2327.0,135.0,81.0,3.1964285714285716,28.0,1.0,3.1676908121766605,2.0,728.0,254.0,17.237037037037037,28.728395061728396,5.392592592592592,0.6,9.161417322834646,69.0,3.0,11.0,22.0,0.0,0.0,0.0,0.0,0.02965191233347658,0.0,0.022222222222222223,0.0,0.9910094160999607,0.5022577954246068
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,0,116.0,14.0,23.0,1.6111111111111112,11.0,1.0,1.4097802801091608,1.0,72.0,219.0,8.285714285714286,5.043478260869565,5.142857142857143,1.6428571428571428,0.5296803652968036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8750360359298239,0.5333230833102914
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,1,2992.0,122.0,100.0,3.9681697612732094,55.0,1.0,4.488917454432629,3.0,754.0,265.0,24.524590163934427,29.92,6.180327868852459,0.819672131147541,11.290566037735848,103.0,7.0,12.0,37.0,9.0,2.0,2.0,6.0,0.03442513368983957,0.0030080213903743314,0.05737704918032787,0.01639344262295082,1.131231203423196,0.4692123493658473
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,1,680.0,86.0,44.0,2.5092250922509227,16.0,1.0,2.35994894582989,2.0,271.0,261.0,7.906976744186046,15.454545454545455,3.1511627906976742,0.5116279069767442,2.6053639846743293,13.0,4.0,3.0,8.0,2.0,2.0,1.0,2.0,0.01911764705882353,0.0029411764705882353,0.046511627906976744,0.023255813953488372,0.9405090651763238,0.5153286928392345
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,1,1493.0,124.0,60.0,3.0161616161616163,19.0,1.0,2.6388067429159956,2.0,495.0,259.0,12.040322580645162,24.883333333333333,3.9919354838709675,0.4838709677419355,5.764478764478764,17.0,5.0,6.0,12.0,1.0,1.0,1.0,1.0,0.011386470194239785,0.0006697923643670462,0.04032258064516129,0.008064516129032258,0.8748890406854775,0.5333648969617906
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,1,2833.0,88.0,91.0,7.396866840731071,79.0,1.0,9.703682606423262,4.0,383.0,254.0,32.19318181818182,31.13186813186813,4.3522727272727275,1.0340909090909092,11.153543307086615,26.0,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.009177550300035298,0.0,0.045454545454545456,0.0,1.3118639033745532,0.4325514138355343
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,1,744.0,52.0,47.0,3.0617283950617282,24.0,1.0,3.42455527309575,2.0,243.0,260.0,14.307692307692308,15.829787234042554,4.673076923076923,0.9038461538461539,2.8615384615384616,49.0,3.0,4.0,10.0,17.0,1.0,2.0,3.0,0.06586021505376344,0.0228494623655914,0.057692307692307696,0.019230769230769232,1.1185039400030474,0.4720312202952814
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,1,4094.0,143.0,99.0,4.503850385038504,53.0,1.0,5.5706551512901195,3.0,909.0,257.0,28.62937062937063,41.35353535353536,6.356643356643357,0.6923076923076923,15.929961089494164,62.0,4.0,8.0,19.0,0.0,0.0,0.0,0.0,0.015144113336590131,0.0,0.027972027972027972,0.0,1.2368650543533752,0.4470542369347696
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,1,1941.0,175.0,75.0,2.491655969191271,15.0,1.0,2.1525066883622928,2.0,779.0,255.0,11.09142857142857,25.88,4.451428571428571,0.42857142857142855,7.6117647058823525,88.0,4.0,12.0,29.0,0.0,0.0,0.0,0.0,0.04533745492014426,0.0,0.022857142857142857,0.0,0.8638859918774993,0.5365135015541891
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,1,1150.0,58.0,69.0,3.6741214057507987,29.0,1.0,3.713609923605412,2.0,313.0,250.0,19.82758620689655,16.666666666666668,5.396551724137931,1.1896551724137931,4.6,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0034782608695652175,0.0,0.017241379310344827,0.0,1.0107477444247774,0.4973274259651471
AAA,2013J,M,Ireland,Post Graduate Qualification,?,35-55,0,60,N,1,4773.0,159.0,106.0,4.821212121212121,225.0,1.0,10.554176979485986,2.0,990.0,262.0,30.0188679245283,45.028301886792455,6.226415094339623,0.6666666666666666,18.217557251908396,49.0,10.0,8.0,20.0,11.0,4.0,1.0,4.0,0.010266080033521894,0.0023046302116069557,0.06289308176100629,0.025157232704402517,2.1891127613013044,0.3135668365617634
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,1,733.0,47.0,50.0,3.316742081447964,24.0,1.0,3.720843046150259,2.0,221.0,264.0,15.595744680851064,14.66,4.702127659574468,1.0638297872340425,2.7765151515151514,32.0,4.0,6.0,12.0,3.0,1.0,1.0,1.0,0.04365620736698499,0.004092769440654843,0.0851063829787234,0.02127659574468085,1.1218367165064218,0.47128979917290137
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,1,998.0,70.0,68.0,2.9096209912536444,19.0,1.0,3.261595710856658,2.0,343.0,253.0,14.257142857142858,14.676470588235293,4.9,0.9714285714285714,3.9446640316205532,10.0,2.0,6.0,6.0,0.0,0.0,0.0,0.0,0.01002004008016032,0.0,0.02857142857142857,0.0,1.1209692673585507,0.4714825506384622
AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,1,2343.0,136.0,89.0,3.9779286926994906,45.0,1.0,4.718380810309517,3.0,589.0,260.0,17.227941176470587,26.325842696629213,4.330882352941177,0.6544117647058824,9.011538461538462,44.0,3.0,10.0,14.0,22.0,1.0,5.0,5.0,0.018779342723004695,0.009389671361502348,0.022058823529411766,0.007352941176470588,1.1861401183407194,0.4574272214349189
AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,1,3548.0,194.0,92.0,3.555110220440882,38.0,1.0,4.015325323087338,2.0,998.0,262.0,18.288659793814432,38.56521739130435,5.144329896907217,0.4742268041237113,13.541984732824428,73.0,5.0,9.0,26.0,13.0,1.0,3.0,5.0,0.020574971815107104,0.0036640360766629085,0.02577319587628866,0.005154639175257732,1.129451711511038,0.4696044501006364
AAA,2013J,F,North Region,Post Graduate Qualification,?,35-55,0,60,N,1,755.0,49.0,39.0,3.296943231441048,25.0,1.0,3.9357826860773657,2.0,229.0,253.0,15.408163265306122,19.358974358974358,4.673469387755102,0.7959183673469388,2.984189723320158,17.0,4.0,4.0,11.0,0.0,0.0,0.0,0.0,0.022516556291390728,0.0,0.08163265306122448,0.0,1.193767198823466,0.4558368821159819
AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,1,1356.0,118.0,86.0,2.6692913385826773,22.0,1.0,2.8906572435295423,2.0,508.0,254.0,11.491525423728813,15.767441860465116,4.305084745762712,0.7288135593220338,5.338582677165355,4.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0029498525073746312,0.0,0.01694915254237288,0.0,1.082930589758855,0.48009281006131455
AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,1,1886.0,108.0,73.0,3.669260700389105,31.0,1.0,4.205671080570343,2.0,514.0,243.0,17.462962962962962,25.835616438356166,4.7592592592592595,0.6759259259259259,7.761316872427984,21.0,3.0,5.0,12.0,0.0,0.0,0.0,0.0,0.011134676564156946,0.0,0.027777777777777776,0.0,1.1461903157015676,0.46594190304745187
AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,1,1108.0,98.0,64.0,3.562700964630225,26.0,1.0,3.4866229761807244,3.0,311.0,239.0,11.306122448979592,17.3125,3.173469387755102,0.6530612244897959,4.635983263598327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9786459797763586,0.5053961194781431
AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,1,281.0,25.0,35.0,2.5779816513761467,15.0,1.0,2.6009028987159635,2.0,109.0,258.0,11.24,8.028571428571428,4.36,1.4,1.0891472868217054,23.0,4.0,6.0,12.0,1.0,1.0,1.0,1.0,0.08185053380782918,0.0035587188612099642,0.16,0.04,1.0088911600001425,0.497787047855758
AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,2041.0,127.0,75.0,3.401666666666667,38.0,1.0,3.5690653680702096,2.0,600.0,258.0,16.070866141732285,27.213333333333335,4.724409448818897,0.5905511811023622,7.910852713178294,18.0,3.0,2.0,5.0,6.0,1.0,1.0,1.0,0.008819206271435572,0.002939735423811857,0.023622047244094488,0.007874015748031496,1.0492107892416098,0.4879927459146791
AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,1,1321.0,89.0,64.0,3.0022727272727274,45.0,1.0,4.165428200012517,2.0,440.0,251.0,14.842696629213483,20.640625,4.943820224719101,0.7191011235955056,5.2629482071713145,11.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.008327024981074944,0.0,0.011235955056179775,0.0,1.3874249871351305,0.41886132774373913
AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,1,520.0,32.0,47.0,3.4210526315789473,18.0,1.0,3.322662133416623,2.0,152.0,253.0,16.25,11.063829787234043,4.75,1.46875,2.0553359683794468,13.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.025,0.0,0.03125,0.0,0.9712397005371667,0.5072949777378662
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,1,2729.0,136.0,85.0,4.813051146384479,72.0,1.0,5.602274812688572,3.0,567.0,261.0,20.066176470588236,32.10588235294118,4.169117647058823,0.625,10.455938697318008,13.0,3.0,3.0,6.0,3.0,1.0,1.0,1.0,0.004763649688530597,0.0010993037742762918,0.022058823529411766,0.007352941176470588,1.1639757489169735,0.4621123875812749
AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,5528.0,192.0,86.0,3.923349893541519,48.0,1.0,4.552387749828511,2.0,1409.0,261.0,28.791666666666668,64.27906976744185,7.338541666666667,0.4479166666666667,21.18007662835249,93.0,6.0,9.0,33.0,9.0,1.0,2.0,3.0,0.016823444283646887,0.0016280752532561505,0.03125,0.005208333333333333,1.1603318269732945,0.46289185185085074
AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,1,1821.0,91.0,74.0,3.118150684931507,21.0,1.0,2.778515837995033,2.0,584.0,253.0,20.01098901098901,24.60810810810811,6.417582417582418,0.8131868131868132,7.1976284584980235,78.0,3.0,9.0,18.0,0.0,0.0,0.0,0.0,0.042833607907743,0.0,0.03296703296703297,0.0,0.8910781160840743,0.5287988854055047
AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,1,2121.0,95.0,84.0,3.3613312202852614,34.0,1.0,3.7177430603976447,2.0,631.0,248.0,22.326315789473686,25.25,6.6421052631578945,0.8842105263157894,8.55241935483871,96.0,2.0,13.0,21.0,0.0,0.0,0.0,0.0,0.04526166902404526,0.0,0.021052631578947368,0.0,1.1060329425322555,0.4748263808246124
AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,N,1,5502.0,196.0,122.0,3.482278481012658,25.0,1.0,3.321538496610239,2.0,1580.0,265.0,28.071428571428573,45.09836065573771,8.061224489795919,0.6224489795918368,20.762264150943395,258.0,12.0,23.0,70.0,90.0,5.0,14.0,28.0,0.04689203925845147,0.016357688113413305,0.061224489795918366,0.025510204081632654,0.953840571545652,0.5118124859127661
AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,1,450.0,34.0,48.0,3.0405405405405403,32.0,1.0,3.3276380836912467,2.0,148.0,254.0,13.235294117647058,9.375,4.352941176470588,1.411764705882353,1.7716535433070866,16.0,1.0,7.0,10.0,0.0,0.0,0.0,0.0,0.035555555555555556,0.0,0.029411764705882353,0.0,1.0944231919695657,0.4774584257060362
AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,0,595.0,31.0,53.0,3.115183246073298,15.0,1.0,2.879570480202676,2.0,191.0,254.0,19.193548387096776,11.226415094339623,6.161290322580645,1.7096774193548387,2.34251968503937,62.0,2.0,14.0,19.0,0.0,0.0,0.0,0.0,0.10420168067226891,0.0,0.06451612903225806,0.0,0.9243663222163213,0.5196515800839235
AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,0,611.0,74.0,40.0,2.6798245614035086,19.0,1.0,2.8514060160989314,2.0,228.0,230.0,8.256756756756756,15.275,3.081081081081081,0.5405405405405406,2.6565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0640271222104032,0.4844897575420823
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,1,270.0,20.0,31.0,3.033707865168539,26.0,1.0,3.6101165877743893,1.0,89.0,241.0,13.5,8.709677419354838,4.45,1.55,1.120331950207469,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.003703703703703704,0.0,0.05,0.0,1.1900013937478542,0.45662071396614595
AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,1,1529.0,81.0,59.0,3.649164677804296,41.0,1.0,4.340591543384445,2.0,419.0,254.0,18.876543209876544,25.915254237288135,5.172839506172839,0.7283950617283951,6.019685039370079,241.0,4.0,20.0,47.0,0.0,0.0,0.0,0.0,0.15761935905820798,0.0,0.04938271604938271,0.0,1.1894753804304006,0.4567304153944964
AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,1,3969.0,189.0,96.0,4.186708860759493,53.0,1.0,4.479915584564186,3.0,948.0,265.0,21.0,41.34375,5.015873015873016,0.5079365079365079,14.977358490566038,138.0,12.0,7.0,29.0,47.0,7.0,3.0,10.0,0.03476946334089191,0.011841773746535651,0.06349206349206349,0.037037037037037035,1.0700327473335471,0.4830841450639469
AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,1,1405.0,87.0,62.0,3.639896373056995,28.0,1.0,4.076841658847137,2.0,386.0,251.0,16.149425287356323,22.661290322580644,4.436781609195402,0.7126436781609196,5.597609561752988,47.0,2.0,25.0,28.0,0.0,0.0,0.0,0.0,0.03345195729537367,0.0,0.022988505747126436,0.0,1.1200433311850497,0.4716884722544919
AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,1,460.0,50.0,41.0,1.9409282700421941,13.0,1.0,1.810015679982404,1.0,237.0,253.0,9.2,11.21951219512195,4.74,0.82,1.8181818181818181,9.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,0.01956521739130435,0.0,0.04,0.0,0.9325515568604995,0.5174506193379578
AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,1,1509.0,98.0,75.0,2.9357976653696496,32.0,1.0,3.155761871279368,2.0,514.0,264.0,15.39795918367347,20.12,5.244897959183674,0.7653061224489796,5.715909090909091,50.0,6.0,13.0,28.0,1.0,1.0,1.0,1.0,0.03313452617627568,0.0006626905235255136,0.061224489795918366,0.01020408163265306,1.074924852112389,0.4819451648969091
AAA,2013J,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,1,736.0,41.0,47.0,2.469798657718121,25.0,1.0,2.7962385677325465,1.0,298.0,246.0,17.951219512195124,15.659574468085106,7.2682926829268295,1.146341463414634,2.991869918699187,36.0,2.0,4.0,12.0,0.0,0.0,0.0,0.0,0.04891304347826087,0.0,0.04878048780487805,0.0,1.132172680956928,0.4690051649809132
AAA,2013J,M,Ireland,HE Qualification,?,35-55,0,60,N,1,1938.0,134.0,84.0,2.7844827586206895,33.0,1.0,2.895213716790068,2.0,696.0,255.0,14.462686567164178,23.071428571428573,5.1940298507462686,0.6268656716417911,7.6,221.0,5.0,19.0,51.0,0.0,0.0,0.0,0.0,0.11403508771929824,0.0,0.03731343283582089,0.0,1.0397671552558758,0.4902520355930313
AAA,2013J,F,Ireland,A Level or Equivalent,?,35-55,0,60,N,1,1772.0,78.0,85.0,4.375308641975309,34.0,1.0,5.33133671831083,2.0,405.0,262.0,22.71794871794872,20.847058823529412,5.1923076923076925,1.0897435897435896,6.763358778625954,78.0,5.0,2.0,12.0,73.0,4.0,2.0,9.0,0.04401805869074492,0.041196388261851014,0.0641025641025641,0.05128205128205128,1.2185052883272494,0.4507539401693285
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,1,6293.0,239.0,93.0,3.8583690987124464,39.0,1.0,3.532867868366861,3.0,1631.0,255.0,26.330543933054393,67.66666666666667,6.824267782426778,0.3891213389121339,24.67843137254902,161.0,5.0,11.0,36.0,0.0,0.0,0.0,0.0,0.025583982202447165,0.0,0.02092050209205021,0.0,0.9156376121573734,0.5220194016099993
AAA,2013J,M,North Region,HE Qualification,?,35-55,0,60,N,1,4440.0,193.0,117.0,3.3970925784238712,26.0,1.0,2.9028302384764872,2.0,1307.0,263.0,23.00518134715026,37.94871794871795,6.772020725388601,0.6062176165803109,16.88212927756654,112.0,10.0,6.0,38.0,23.0,5.0,2.0,11.0,0.025225225225225224,0.00518018018018018,0.05181347150259067,0.025906735751295335,0.8545043066866597,0.5392276504262451
AAA,2013J,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,1,2016.0,97.0,60.0,4.613272311212815,54.0,1.0,6.505404073332254,2.0,437.0,264.0,20.783505154639176,33.6,4.505154639175258,0.6185567010309279,7.636363636363637,43.0,5.0,6.0,19.0,16.0,2.0,4.0,10.0,0.02132936507936508,0.007936507936507936,0.05154639175257732,0.020618556701030927,1.4101495932768822,0.4149120049599835
AAA,2013J,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,0,138.0,17.0,17.0,2.76,22.0,1.0,4.321564342613325,1.0,50.0,250.0,8.117647058823529,8.117647058823529,2.9411764705882355,1.0,0.552,15.0,1.0,5.0,6.0,0.0,0.0,0.0,0.0,0.10869565217391304,0.0,0.058823529411764705,0.0,1.5657841821062772,0.3897443935362834
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,1,2006.0,155.0,83.0,2.351699882766706,18.0,1.0,2.3443293972838957,1.0,853.0,257.0,12.941935483870967,24.16867469879518,5.503225806451613,0.535483870967742,7.80544747081712,94.0,7.0,6.0,32.0,0.0,0.0,0.0,0.0,0.04685942173479561,0.0,0.04516129032258064,0.0,0.9968658902707691,0.5007847571898797
AAA,2013J,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,1,1975.0,116.0,83.0,3.610603290676417,61.0,1.0,4.6904271814549325,2.0,547.0,253.0,17.025862068965516,23.795180722891565,4.7155172413793105,0.7155172413793104,7.8063241106719365,27.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.013670886075949367,0.0,0.02586206896551724,0.0,1.299070211775113,0.43495844314728416
AAA,2013J,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,1,964.0,58.0,69.0,2.619565217391304,25.0,1.0,2.88788653495716,1.0,368.0,257.0,16.620689655172413,13.971014492753623,6.344827586206897,1.1896551724137931,3.7509727626459144,255.0,6.0,30.0,76.0,14.0,1.0,3.0,5.0,0.2645228215767635,0.014522821576763486,0.10344827586206896,0.017241379310344827,1.1024297145894553,0.47564015722412467
AAA,2013J,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,1,1311.0,146.0,90.0,2.754201680672269,23.0,1.0,2.409735341064681,2.0,476.0,257.0,8.979452054794521,14.566666666666666,3.26027397260274,0.6164383561643836,5.101167315175097,21.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.016018306636155607,0.0,0.02054794520547945,0.0,0.874930604383515,0.5333530732615057
AAA,2013J,M,London Region,HE Qualification,10-20,0-35,0,120,N,0,427.0,15.0,36.0,4.313131313131313,25.0,1.0,4.775888558519476,3.0,99.0,50.0,28.466666666666665,11.86111111111111,6.6,2.4,8.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1072903215302767,0.4745430611923552
